"文件夹","名称","经度","纬度","海拔","文本显示风格","图标样式","显示级别","叠放层次","图标颜色及不透明度","图标比例","对象ID","附件ID与名称","所属区域","Comment"
"/道路节点","道路节点207","113.59622466","26.03850244","0","1","5","1-0","0","0X00000000","0.0","651208075","","无",""
"/道路节点","道路节点208","113.59866500","26.02564207","0","1","5","1-0","0","0X00000000","0.0","525985903","","无",""
"/道路节点","道路节点209","113.59813623","26.02485641","0","1","5","1-0","0","0X00000000","0.0","253855761","","无",""
"/道路节点","道路节点210","113.59835788","26.02468522","0","1","5","1-0","0","0X00000000","0.0","1672481319","","无",""
"/道路节点","道路节点211","113.59830961","26.02487441","0","1","5","1-0","0","0X00000000","0.0","1605235976","","无",""
"/道路节点","道路节点212","113.59184548","26.00823894","0","1","5","1-0","0","0X00000000","0.0","271538826","","无",""
"/道路节点","道路节点213","113.60407297","26.01304355","0","1","5","1-0","0","0X00000000","0.0","1185155460","","无",""
"/道路节点","道路节点214","113.60452513","26.01074457","0","1","5","1-0","0","0X00000000","0.0","1995302851","","无",""
"/道路节点","道路节点215","113.61201568","26.01505665","0","1","5","1-0","0","0X00000000","0.0","61465376","","无",""
"/道路节点","道路节点216","113.61186823","26.01452365","0","1","5","1-0","0","0X00000000","0.0","2026090709","","无",""
"/道路节点","道路节点217","113.61782939","26.01925240","0","1","5","1-0","0","0X00000000","0.0","1546003989","","无",""
"/道路节点","道路节点218","113.61668097","26.01756446","0","1","5","1-0","0","0X00000000","0.0","374322865","","无",""
"/道路节点","道路节点219","113.62110031","26.02151687","0","1","5","1-0","0","0X00000000","0.0","1876602606","","无",""
"/道路节点","道路节点220","113.62049283","26.02182091","0","1","5","1-0","0","0X00000000","0.0","460202927","","无",""
"/道路节点","道路节点221","113.62228453","26.02141449","0","1","5","1-0","0","0X00000000","0.0","546540975","","无",""
"/道路节点","道路节点222","113.63757850","26.02805232","0","1","5","1-0","0","0X00000000","0.0","140232337","","无",""
"/道路节点","道路节点223","113.63451117","26.03087113","0","1","5","1-0","0","0X00000000","0.0","2079666288","","无",""
"/道路节点","道路节点224","113.65173803","26.03674068","0","1","5","1-0","0","0X00000000","0.0","1552617973","","无",""
"/道路节点","道路节点229","113.63133185","26.01391649","0","1","5","1-0","0","0X00000000","0.0","1424922926","","无",""
"/道路节点","道路节点225","113.58878106","26.00281379","0","1","5","1-0","0","0X00000000","0.0","403515083","","无",""
"/道路节点","道路节点226","113.59016169","26.00287526","0","1","5","1-0","0","0X00000000","0.0","1593682205","","无",""
"/道路节点","道路节点227","113.58868269","26.00183857","0","1","5","1-0","0","0X00000000","0.0","197374249","","无",""
"/道路节点","道路节点228","113.58911767","26.00213399","0","1","5","1-0","0","0X00000000","0.0","603172551","","无",""
"/道路节点","道路节点225","113.65163890","26.03721114","0","1","5","1-0","0","0X00000000","0.0","2099802588","","无",""
"/道路节点","道路节点226","113.65403576","26.03983321","0","1","5","1-0","0","0X00000000","0.0","1530467915","","无",""
"/道路节点","道路节点227","113.65339024","26.04073390","0","1","5","1-0","0","0X00000000","0.0","1266550418","","无",""
"/道路节点","道路节点228","113.66150093","26.04012581","0","1","5","1-0","0","0X00000000","0.0","776460838","","无",""
